scenario,seed,algo,runtime_sec,energy,violations,viol_rate,avg_delay,tail_delay_p95,max_delay,avg_ue_energy,E_mec,E_cloud,num_mec_tasks,num_cloud_tasks,num_active_mec,jain_delay,jain_ue_energy,mec_count_0,mec_count_1,mec_count_2,mec_count_3,mec_count_4,mec_count_5,mec_count_6,mec_count_7
1,1,GA,23.571159082930535,8.547310347009232,6,6.0,0.08705672305510433,0.11457663502100746,0.23640114543832183,0.005875979470092313,7.8075,0.1522124,69,31,5,0.9120751363563869,0.7162092539217877,18,15,0,0,0,16,9,11
1,1,Greedy,1.7538107500877231,11.534236806492482,7,7.0,0.08179419948734928,0.11222930341378932,0.22640114543832185,0.0056343720649248185,10.7625,0.20829960000000003,56,44,7,0.9065857442830928,0.6705463047250504,6,12,0,12,12,3,4,7
1,1,CEGA,24.022250750102103,13.068865902365763,4,4.0,0.07817020261629132,0.10905900699827122,0.23040114543832182,0.006127651023657636,12.297,0.1591008,67,33,8,0.8918676014602842,0.7310012993488543,8,11,10,12,9,5,3,9
1,1,Random,0.0006069159135222435,14.707276466645096,52,52.0,0.19833549588615093,0.647792270264498,0.9140066870410661,0.02253689266645095,12.387,0.06658720000000001,86,14,8,0.5121045484728308,0.4670727979302968,15,14,7,12,11,7,10,10
2,2,GA,23.282265333924443,8.538222128445602,7,7.0,0.08839923655033703,0.11920441329293105,0.21964384996906847,0.005754517284456021,7.8255,0.13727040000000001,73,27,5,0.8996567321410588,0.6910404460700179,0,0,0,13,17,9,18,16
2,2,Greedy,2.3845822501461953,11.495314055324027,8,8.0,0.08741949756596055,0.11014601896723081,0.19731760533770812,0.005361572553240267,10.7085,0.2506568,46,54,7,0.9175700639047409,0.60942011823139,11,3,3,11,0,2,12,4
2,2,CEGA,24.96221841685474,13.023506484232403,7,7.0,0.07949472056202914,0.11715199646452215,0.19931760533770812,0.005678900842324023,12.303,0.15261639999999999,69,31,8,0.8868733573799645,0.6469641395074567,10,4,3,15,13,1,13,10
2,2,Random,0.0005322920624166727,14.86511314130851,60,60.0,0.2065782231991577,0.4897386898613969,0.795310194982461,0.0240880274130851,12.3945,0.0618104,86,14,8,0.6078098645220957,0.53717264706923,8,14,14,9,11,13,12,5
3,3,GA,19.468385374872014,5.401434149763609,15,15.0,0.08743646101154216,0.13306648286021777,0.2182051473469683,0.004504469497636081,4.6875,0.2634872,44,56,3,0.9173001826437905,0.6752576837670676,0,0,17,12,15,0,0,0
3,3,Greedy,2.1270464579574764,9.928292526431433,4,4.0,0.07526282234958939,0.11103377696810235,0.20887181401363497,0.004766469264314326,9.2265,0.2251456,51,49,6,0.8857039425800192,0.5838595055030285,8,11,0,6,5,0,6,15
3,3,CEGA,24.417477290844545,12.932229823842396,1,1.0,0.06815511965448913,0.1111091936463578,0.13729272068030166,0.00482671423842395,12.2895,0.1600584,66,34,8,0.9002359297615016,0.623906214886648,6,4,11,9,13,1,7,15
3,3,Random,0.0006051671225577593,14.71023877885517,54,54.0,0.18799274415986347,0.5157442298440991,0.7375860837528538,0.022677163788551696,12.4065,0.0360224,92,8,8,0.5749913750527755,0.4965275638728217,9,12,14,9,12,15,11,10
4,4,GA,19.751221457961947,5.432167846441533,10,10.0,0.09061665194460486,0.1213524584905105,0.17796081769105168,0.0046345744644153255,4.7055,0.2632104,45,55,3,0.9420919246195565,0.6929159684936119,0,0,0,0,15,0,12,18
4,4,Greedy,1.5785465000662953,11.465682707583586,1,1.0,0.0713444758598406,0.10959191131105536,0.1419608176910517,0.004924123075835854,10.8375,0.1357704,72,28,7,0.9081688557076683,0.7038298887502877,11,9,8,14,6,16,0,8
4,4,CEGA,26.686018166830763,12.893233399358328,0,0.0,0.06592623242814012,0.10116234830469766,0.11662748435771834,0.004254765993583284,12.4215,0.0462568,91,9,8,0.9190532423773038,0.7406977724622018,11,9,8,13,13,14,11,12
4,4,Random,0.0005628340877592564,14.46031851158123,56,56.0,0.16424198954649408,0.4561702953248205,0.5495064917027811,0.019994501115812306,12.411,0.0498684,89,11,8,0.6276112026754906,0.5226047261680465,9,12,12,11,11,12,12,10
5,5,GA,19.897817166987807,5.369912812423809,7,7.0,0.08580234474268833,0.12076178269336095,0.1686175375129031,0.004181064124238088,4.6965,0.2553064,46,54,3,0.9366387023012894,0.6753189013759306,20,0,0,0,0,14,0,12
5,5,Greedy,1.4963503750041127,11.258861735348276,0,0.0,0.06124200559500178,0.08533359552597554,0.10596007938904728,0.0033938373534827663,10.758,0.161478,66,34,7,0.9323453665238187,0.7868639215186071,14,12,2,11,0,11,5,11
5,5,CEGA,24.601379584055394,12.79327399579574,0,0.0,0.055112224986193156,0.07887321370571934,0.10943151588790603,0.0035478039579574174,12.3075,0.1309936,73,27,8,0.9367574905875504,0.8108370409110575,9,9,8,10,8,10,8,11
5,5,Random,0.0005609160289168358,14.696270973934128,60,60.0,0.19006745204556322,0.5511884801157344,0.780021390541701,0.022615141739341274,12.3885,0.0462568,90,10,8,0.5669658686144361,0.46890594461710444,14,11,15,13,10,10,11,6
6,6,GA,21.240260999882594,6.994405376244925,13,13.0,0.08739022111296788,0.12803544942492376,0.19762893710033183,0.00524701776244926,6.255,0.2147036,56,44,4,0.9228787317917104,0.6879503282754577,14,0,17,0,0,15,0,10
6,6,Greedy,1.4195954168681055,11.514096523397116,4,4.0,0.07971999087903503,0.11096145041484157,0.14930125710033185,0.005505313233971168,10.746,0.21756520000000001,53,47,7,0.9339056975879892,0.6589440357176461,7,2,12,9,9,0,6,8
6,6,CEGA,23.1713661251124,13.018281759492826,2,2.0,0.07497399490438705,0.11361885239489045,0.14630125710033184,0.005473661594928265,12.282,0.18891560000000002,60,40,8,0.9070602030107574,0.6872836287064285,6,1,11,8,8,8,9,9
